"","state","year","date","overall_max","so_max","gi_max","so_marriage_max","so_relationships_max","so_adoption_max","so_discrimination_max","so_religion_max","so_youth_max","so_health_safety_max","so_healthcare_max","so_crime_max","so_identity_max","gi_marriage_max","gi_relationships_max","gi_adoption_max","gi_discrimination_max","gi_religion_max","gi_youth_max","gi_health_safety_max","gi_healthcare_max","gi_crime_max","gi_identity_max","all_marriage_max","all_relationships_max","all_adoption_max","all_discrimination_max","all_religion_max","all_youth_max","all_health_safety_max","all_healthcare_max","all_crime_max","all_identity_max","overall","so","gi","so_marriage","so_relationships","so_adoption","so_discrimination","so_religion","so_youth","so_health_safety","so_healthcare","so_crime","so_identity","gi_marriage","gi_relationships","gi_adoption","gi_discrimination","gi_religion","gi_youth","gi_health_safety","gi_healthcare","gi_crime","gi_identity","all_marriage","all_relationships","all_adoption","all_discrimination","all_religion","all_youth","all_health_safety","all_healthcare","all_crime","all_identity","so_theme1_relationships_max","so_theme2_nondisc_max","so_theme3_identity_max","so_theme4_youth_max","so_theme5_healthcrim_max","gi_theme1_relationships_max","gi_theme2_nondisc_max","gi_theme3_identity_max","gi_theme4_youth_max","gi_theme5_healthcrim_max","theme1_relationships_max","theme2_nondisc_max","theme3_identity_max","theme4_youth_max","theme5_healthcrim_max","so_theme1_relationships","so_theme2_nondisc","so_theme3_identity","so_theme4_youth","so_theme5_healthcrim","gi_theme1_relationships","gi_theme2_nondisc","gi_theme3_identity","gi_theme4_youth","gi_theme5_healthcrim","theme1_relationships","theme2_nondisc","theme3_identity","theme4_youth","theme5_healthcrim","so_theme1_relationships_ord","so_theme2_nondisc_ord","so_theme3_identity_ord","so_theme4_youth_ord","so_theme5_healthcrim_ord","gi_theme1_relationships_ord","gi_theme2_nondisc_ord","gi_theme3_identity_ord","gi_theme4_youth_ord","gi_theme5_healthcrim_ord","theme1_relationships_ord","theme2_nondisc_ord","theme3_identity_ord","theme4_youth_ord","theme5_healthcrim_ord","overall_ord","so_ord","gi_ord","Region"
"35","North Dakota",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,1.5,3.25,-1.75,0,2,2,-0.25,0,0,-0.5,0,0,0,0,0,0,-0.25,0,0,-0.5,0,0,-1,0,2,2,-0.5,0,0,-1,0,0,-1,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4,-0.25,0,0,-0.5,0,-0.25,-1,0,-0.5,4,-0.5,-1,0,-1,"Fair","Negative",NA,"Low","Negative","Low","Negative","Negative","Low","Negative","Low","Negative","Negative","Low","Negative","Low","Low","Negative","Midwest"
"36","Ohio",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,3.5,4.5,-1,0,2,2.5,0.5,0,0,-0.5,0,0,0,0,0,0,0,0,0,-0.5,0,0,-0.5,0,2,2.5,0.5,0,0,-1,0,0,-0.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4.5,0.5,0,0,-0.5,0,0,-0.5,0,-0.5,4.5,0.5,-0.5,0,-1,"Fair","Low",NA,"Low","Negative","Low","Low","Negative","Low","Negative","Fair","Low","Negative","Low","Negative","Low","Low","Negative","Midwest"
"37","Oklahoma",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,1.5,4,-2.5,0,2,3.5,-0.5,0,-0.5,-0.5,0,0,0,0,0,0,-0.5,0,-0.5,-0.5,0,0,-1,0,2,3.5,-1,0,-1,-1,0,0,-1,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,5.5,-0.5,0,-0.5,-0.5,0,-0.5,-1,-0.5,-0.5,5.5,-1,-1,-1,-1,"Medium","Negative",NA,"Negative","Negative","Low","Negative","Negative","Negative","Negative","Fair","Negative","Negative","Negative","Negative","Low","Low","Negative","South"
"38","Oregon",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,29.5,16.25,13.25,0,2.5,5.5,3.5,0,3,1.75,0,0,0,0,0,1,3.5,0,3,4.25,0,0,1.5,0,2.5,6.5,7,0,6,6,0,0,1.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,8,3.5,0,3,1.75,1,3.5,1.5,3,4.25,9,7,1.5,6,6,"High","High",NA,"High","Fair","Low","High","Medium","High","High","Medium","High","Medium","High","High","Medium","High","Medium","West"
"39","Pennsylvania",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,11,6.25,4.75,0,2,3,0.75,0,1,-0.5,0,0,0,0,0,0,0.75,0,0,2,0,0,2,0,2,3,1.5,0,1,1.5,0,0,2,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,5,0.75,0,1,-0.5,0,0.75,2,0,2,5,1.5,2,1,1.5,"Medium","Low",NA,"Medium","Negative","Low","Low","Medium","Low","Medium","Fair","Low","Medium","Fair","Low","Fair","Fair","Low","Northeast"
"40","Rhode Island",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,27,15,12,0,2.5,5.5,4,0,1,2,0,0,0,0,0,2,4,0,1,4,0,0,1,0,2.5,7.5,8,0,2,6,0,0,1,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,8,4,0,1,2,2,4,1,1,4,10,8,1,2,6,"High","High",NA,"Medium","Medium","Fair","High","Fair","Medium","High","Medium","High","Fair","Medium","High","Medium","High","Medium","Northeast"
"41","South Carolina",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,1.5,3,-1.5,0,2,2.5,-0.5,0,-0.5,-0.5,0,0,0,0,0,0,-0.5,0,-0.5,-0.5,0,0,0,0,2,2.5,-1,0,-1,-1,0,0,0,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4.5,-0.5,0,-0.5,-0.5,0,-0.5,0,-0.5,-0.5,4.5,-1,0,-1,-1,"Fair","Negative",NA,"Negative","Negative","Low","Negative","Low","Negative","Negative","Fair","Negative","Low","Negative","Negative","Low","Low","Negative","South"
"42","South Dakota",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,1.5,3,-1.5,0,2,2,0,0,-0.5,-0.5,0,0,0,0,0,0,0,0,-0.5,-0.5,0,0,-0.5,0,2,2,0,0,-1,-1,0,0,-0.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4,0,0,-0.5,-0.5,0,0,-0.5,-0.5,-0.5,4,0,-0.5,-1,-1,"Fair","Low",NA,"Negative","Negative","Low","Low","Negative","Negative","Negative","Low","Low","Negative","Negative","Negative","Low","Low","Negative","Midwest"
"43","Tennessee",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,0.5,4,-3.5,0,2,2.5,-1,0,0,0.5,0,0,0,0,0,0,-1,0,0,-1.5,0,0,-1,0,2,2.5,-2,0,0,-1,0,0,-1,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4.5,-1,0,0,0.5,0,-1,-1,0,-1.5,4.5,-2,-1,0,-1,"Fair","Negative",NA,"Low","Low","Low","Negative","Negative","Low","Negative","Fair","Negative","Negative","Low","Negative","Low","Low","Negative","South"
"44","Texas",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,4,4.75,-0.75,0,2,2.5,0,0,-0.5,0.75,0,0,0,0,0,0,0,0,-0.5,-0.25,0,0,0,0,2,2.5,0,0,-1,0.5,0,0,0,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4.5,0,0,-0.5,0.75,0,0,0,-0.5,-0.25,4.5,0,0,-1,0.5,"Fair","Low",NA,"Negative","Low","Low","Low","Low","Negative","Negative","Fair","Low","Low","Negative","Low","Low","Low","Negative","South"
"45","Utah",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,10,7,3,0,2,2,2,0,1.5,-0.5,0,0,0,0,0,0,2,0,0.5,-0.5,0,0,1,0,2,2,4,0,2,-1,0,0,1,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4,2,0,1.5,-0.5,0,2,1,0.5,-0.5,4,4,1,2,-1,"Fair","Medium",NA,"High","Negative","Low","Medium","Fair","Fair","Negative","Low","Medium","Fair","Medium","Negative","Fair","Fair","Low","West"
"46","Vermont",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,28.5,15,13.5,0,2.5,3,4.5,0,3,2,0,0,0,0,0,0,4.5,0,3,4,0,0,2,0,2.5,3,9,0,6,6,0,0,2,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,5.5,4.5,0,3,2,0,4.5,2,3,4,5.5,9,2,6,6,"Medium","High",NA,"High","Medium","Low","High","Medium","High","High","Fair","High","Medium","High","High","Medium","High","Medium","Northeast"
"47","Virginia",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,3.5,3.25,0.25,0,2,2,-0.25,0,0,-0.5,0,0,0,0,0,0,-0.25,0,0,-0.5,0,0,1,0,2,2,-0.5,0,0,-1,0,0,1,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4,-0.25,0,0,-0.5,0,-0.25,1,0,-0.5,4,-0.5,1,0,-1,"Fair","Negative",NA,"Low","Negative","Low","Negative","Fair","Low","Negative","Low","Negative","Fair","Low","Negative","Low","Low","Low","South"
"48","Washington",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,28,14.5,13.5,0,2.5,4,4.5,0,2,1.5,0,0,0,0,0,0,4.5,0,2,4,0,0,3,0,2.5,4,9,0,4,5.5,0,0,3,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,6.5,4.5,0,2,1.5,0,4.5,3,2,4,6.5,9,3,4,5.5,"Medium","High",NA,"High","Fair","Low","High","High","High","High","Fair","High","High","High","Medium","Medium","Medium","Medium","West"
"49","West Virginia",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,3,4.5,-1.5,0,2,2.5,0,0,0.5,-0.5,0,0,0,0,0,0,0,0,0,-1.5,0,0,0,0,2,2.5,0,0,0.5,-2,0,0,0,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4.5,0,0,0.5,-0.5,0,0,0,0,-1.5,4.5,0,0,0.5,-2,"Fair","Low",NA,"Fair","Negative","Low","Low","Low","Low","Negative","Fair","Low","Low","Low","Negative","Low","Low","Negative","South"
"50","Wisconsin",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,11.5,12,-0.5,0,3,4,3.5,0,1,0.5,0,0,0,0,0,1,0,0,0,-1,0,0,-0.5,0,3,5,3.5,0,1,-0.5,0,0,-0.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,7,3.5,0,1,0.5,1,0,-0.5,0,-1,8,3.5,-0.5,1,-0.5,"Medium","High",NA,"Medium","Low","Low","Low","Negative","Low","Negative","Fair","Fair","Negative","Fair","Negative","Fair","Medium","Negative","Midwest"
"51","Wyoming",2017,"2017-01-25T00:00:00Z",40,20,20,0,3,7,4,0,2,4,0,0,0,0,0,7,4,0,2,4,0,0,3,0,3,14,8,0,4,8,0,0,3,2,4,-2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,-1.5,0,2,2,0,0,0,-0.5,0,0,-1.5,10,4,0,2,4,7,4,3,2,4,17,8,3,4,8,4,0,0,0,0,0,0,-1.5,0,-0.5,4,0,-1.5,0,-0.5,"Fair","Low",NA,"Low","Low","Low","Low","Negative","Low","Negative","Low","Low","Negative","Low","Negative","Low","Low","Negative","West"
"52","Alabama",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,-2.5,0.25,-2.75,1,1,0,0,-0.75,-0.5,-0.5,0,0,0,0,0,0,0,-0.75,-0.5,-0.5,0,0,-1,1,1,0,0,-1.5,-1,-1,0,0,-1,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,2,-0.75,0,-0.5,-0.5,0,-0.75,-1,-0.5,-0.5,2,-1.5,-1,-1,-1,"Fair","Negative",NA,"Negative","Negative","Low","Negative","Negative","Negative","Negative","Low","Negative","Negative","Negative","Negative","Negative","Low","Negative","South"
"53","Alaska",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,4.5,3.25,1.25,1,1,0,1.25,0,0,0,0,0,0,0,0,0,0.75,0,0,-1,0,0,1.5,1,1,0,2,0,0,-1,0,0,1.5,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,2,1.25,0,0,0,0,0.75,1.5,0,-1,2,2,1.5,0,-1,"Fair","Fair",NA,"Low","Low","Low","Low","Medium","Low","Negative","Low","Fair","Medium","Low","Negative","Low","Low","Low","West"
"54","Arizona",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,4,4.75,-0.75,1,1.5,0,1.25,-0.25,-0.5,1.75,0,0,0,0,0,0,0.75,-0.25,-0.5,-0.25,0,0,-0.5,1,1.5,0,2,-0.5,-1,1.5,0,0,-0.5,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,2.5,1,0,-0.5,1.75,0,0.5,-0.5,-0.5,-0.25,2.5,1.5,-0.5,-1,1.5,"Fair","Fair",NA,"Negative","Medium","Low","Low","Negative","Negative","Negative","Fair","Low","Negative","Negative","Low","Low","Fair","Negative","West"
"55","Arkansas",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,0.5,2.25,-1.75,1,1,0,-0.5,-0.25,1,0,0,0,0,0,0,0,-0.5,-0.25,1,-1,0,0,-1,1,1,0,-1,-0.5,2,-1,0,0,-1,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,2,-0.75,0,1,0,0,-0.75,-1,1,-1,2,-1.5,-1,2,-1,"Fair","Negative",NA,"Fair","Low","Low","Negative","Negative","Fair","Negative","Low","Negative","Negative","Fair","Negative","Low","Low","Negative","South"
"56","California",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,32.5,16,16.5,1,5.5,0,3.5,0,3.5,2.5,0,0,0,0,2,0,3.5,0,3.5,4.5,0,0,3,1,7.5,0,7,0,7,7,0,0,3,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,6.5,3.5,0,3.5,2.5,2,3.5,3,3.5,4.5,8.5,7,3,7,7,"High","High",NA,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","West"
"57","Colorado",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,23.5,13.25,10.25,1,3,0,4.5,0,2.25,2.5,0,0,0,0,0,0,4.5,0,2.25,4,0,0,-0.5,1,3,0,9,0,4.5,6.5,0,0,-0.5,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,4,4.5,0,2.25,2.5,0,4.5,-0.5,2.25,4,4,9,-0.5,4.5,6.5,"Medium","High",NA,"Medium","High","Low","High","Negative","Medium","High","Fair","High","Negative","Medium","High","Medium","Medium","Medium","West"
"58","Connecticut",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,28,13.75,14.25,1,3.5,0,4.5,-0.25,3.25,1.75,0,0,0,0,0,0,4.5,-0.25,3.25,3.75,0,0,3,1,3.5,0,9,-0.5,6.5,5.5,0,0,3,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,4.5,4.25,0,3.25,1.75,0,4.25,3,3.25,3.75,4.5,8.5,3,6.5,5.5,"Medium","High",NA,"High","Medium","Low","High","High","High","High","Fair","High","High","High","Medium","High","High","High","Northeast"
"59","Delaware",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,18.25,9.75,8.5,1,2,0,3.5,0,0.75,2.5,0,0,0,0,0,0,3.5,0,0.5,3.5,0,0,1,1,2,0,7,0,1.25,6,0,0,1,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,3,3.5,0,0.75,2.5,0,3.5,1,0.5,3.5,3,7,1,1.25,6,"Fair","High",NA,"Low","High","Low","High","Fair","Low","Medium","Fair","High","Fair","Low","High","Medium","Medium","Fair","South"
"60","DC",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,34,17.25,16.75,1,6.5,0,3.5,0,3.25,3,0,0,0,0,2,0,3.5,0,3.25,5,0,0,3,1,8.5,0,7,0,6.5,8,0,0,3,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,7.5,3.5,0,3.25,3,2,3.5,3,3.25,5,9.5,7,3,6.5,8,"High","High",NA,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","South"
"61","Florida",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,5.75,4.75,1,1,1,0,1.5,-0.25,0.5,1,0,0,0,0,0,0,1.5,-0.25,0.25,-1,0,0,0.5,1,1,0,3,-0.5,0.75,0,0,0,0.5,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,2,1.25,0,0.5,1,0,1.25,0.5,0.25,-1,2,2.5,0.5,0.75,0,"Fair","Fair",NA,"Low","Fair","Low","Fair","Low","Low","Negative","Low","Fair","Low","Low","Low","Low","Fair","Low","South"
"62","Georgia",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,-1.5,2.5,-4,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,-1,0,0,-3,1,1,0,0,0,0.5,-1,0,0,-3,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,2,0,0,0.5,0,0,0,-3,0,-1,2,0,-3,0.5,-1,"Fair","Low",NA,"Low","Low","Low","Low","Negative","Low","Negative","Low","Low","Negative","Low","Negative","Negative","Low","Negative","South"
"63","Hawaii",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,20.5,10.75,9.75,1,2,0,3.5,0,1.25,3,0,0,0,0,0,0,3.5,0,1.25,3,0,0,2,1,2,0,7,0,2.5,6,0,0,2,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,3,3.5,0,1.25,3,0,3.5,2,1.25,3,3,7,2,2.5,6,"Fair","High",NA,"Fair","High","Low","High","Medium","Fair","Medium","Fair","High","Medium","Fair","High","Medium","Medium","Medium","West"
"64","Idaho",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,2,3.25,-1.25,1,1.5,0,0.75,-0.25,0.25,0,0,0,0,0,0,0,0.75,-0.25,0.25,-0.5,0,0,-1.5,1,1.5,0,1.5,-0.5,0.5,-0.5,0,0,-1.5,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,2.5,0.5,0,0.25,0,0,0.5,-1.5,0.25,-0.5,2.5,1,-1.5,0.5,-0.5,"Fair","Low",NA,"Low","Low","Low","Low","Negative","Low","Negative","Fair","Low","Negative","Low","Negative","Low","Low","Negative","West"
"65","Illinois",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,25.5,12.5,13,1,1.5,0,4.5,-0.5,3.5,2.5,0,0,0,0,0,0,4.5,-0.5,3.5,4,0,0,1.5,1,1.5,0,9,-1,7,6.5,0,0,1.5,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,2.5,4,0,3.5,2.5,0,4,1.5,3.5,4,2.5,8,1.5,7,6.5,"Fair","High",NA,"High","High","Low","High","Medium","High","High","Fair","High","Medium","High","High","Medium","Medium","High","Midwest"
"66","Indiana",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,6.5,4.75,1.75,1,2,0,1.25,-0.25,0.25,0.5,0,0,0,0,0,0,1.25,-0.25,0.25,0.5,0,0,0,1,2,0,2.5,-0.5,0.5,1,0,0,0,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,3,1,0,0.25,0.5,0,1,0,0.25,0.5,3,2,0,0.5,1,"Fair","Fair",NA,"Low","Low","Low","Fair","Low","Low","Low","Fair","Fair","Low","Low","Low","Low","Fair","Low","Midwest"
"67","Iowa",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,13.5,9.75,3.75,1,1,0,4.5,0,2.25,1,0,0,0,0,0,0,4.5,0,2.25,-1,0,0,-2,1,1,0,9,0,4.5,0,0,0,-2,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,2,4.5,0,2.25,1,0,4.5,-2,2.25,-1,2,9,-2,4.5,0,"Fair","High",NA,"Medium","Fair","Low","High","Negative","Medium","Negative","Low","High","Negative","Medium","Low","Fair","Medium","Low","Midwest"
"68","Kansas",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,3.75,4,-0.25,1,2,0,0.5,-0.5,0,1,0,0,0,0,0,0,0.5,-0.25,0,0,0,0,-0.5,1,2,0,1,-0.75,0,1,0,0,-0.5,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,3,0,0,0,1,0,0.25,-0.5,0,0,3,0.25,-0.5,0,1,"Fair","Low",NA,"Low","Fair","Low","Low","Negative","Low","Low","Fair","Low","Negative","Low","Low","Low","Low","Negative","Midwest"
"69","Kentucky",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,6,5.5,0.5,1,2,0,1.25,-0.25,0,1.5,0,0,0,0,0,0,1.25,-0.25,0,0.5,0,0,-1,1,2,0,2.5,-0.5,0,2,0,0,-1,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,3,1,0,0,1.5,0,1,-1,0,0.5,3,2,-1,0,2,"Fair","Fair",NA,"Low","Medium","Low","Fair","Negative","Low","Low","Fair","Fair","Negative","Low","Fair","Low","Fair","Low","South"
"70","Louisiana",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,0.75,3,-2.25,1,1,0,0,-0.25,-0.25,1.5,0,0,0,0,0,0,0,-0.25,-0.5,-0.5,0,0,-1,1,1,0,0,-0.5,-0.75,1,0,0,-1,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,2,-0.25,0,-0.25,1.5,0,-0.25,-1,-0.5,-0.5,2,-0.5,-1,-0.75,1,"Fair","Negative",NA,"Negative","Medium","Low","Negative","Negative","Negative","Negative","Low","Negative","Negative","Negative","Low","Low","Low","Negative","South"
"71","Maine",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,20,13.75,6.25,1,4,0,4.5,0,2.25,2,0,0,0,0,0,0,4.5,0,2.25,-0.5,0,0,0,1,4,0,9,0,4.5,1.5,0,0,0,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,5,4.5,0,2.25,2,0,4.5,0,2.25,-0.5,5,9,0,4.5,1.5,"Medium","High",NA,"Medium","Medium","Low","High","Low","Medium","Negative","Medium","High","Low","Medium","Low","Medium","High","Fair","Northeast"
"72","Maryland",2018,"2018-01-04T00:00:00Z",35,17.75,17.25,1,7,0,4.5,-1.25,3.5,3,0,0,0,0,2,0,4.5,-0.75,3.5,5,0,0,3,1,9,0,9,-2,7,8,0,0,3,23.25,12.75,10.5,1,4.5,0,4.5,0,1.25,1.5,0,0,0,0,0,0,4.5,0,1,3.5,0,0,1.5,1,4.5,0,9,0,2.25,5,0,0,1.5,8,3.25,0,3.5,3,2,3.75,3,3.5,5,10,7,3,7,8,5.5,4.5,0,1.25,1.5,0,4.5,1.5,1,3.5,5.5,9,1.5,2.25,5,"Medium","High",NA,"Fair","Medium","Low","High","Medium","Fair","Medium","Medium","High","Medium","Fair","Medium","Medium","Medium","Medium","South"
